"AVG(InpSize,Cmprsns)","(1, 0)","(5, 2)","(44, 30)","(49, 33)","(62, 41)","(64, 46)","(65, 44)","(70, 47)","(83, 56)","(112, 75)","(119, 79)","(128, 90)","(137, 95)","(142, 99)","(162, 113)","(174, 120)","(183, 125)","(184, 124)","(184, 130)","(186, 126)","(209, 146)","(228, 159)","(304, 212)","(307, 221)","(327, 227)","(337, 236)","(344, 248)","(362, 258)","(385, 272)","(394, 278)","(407, 286)","(408, 286)","(410, 295)","(426, 302)","(441, 313)","(468, 327)","(476, 331)","(476, 340)","(492, 355)","(493, 346)","(514, 365)","(516, 373)","(519, 369)","(529, 370)","(529, 370)","(531, 379)","(534, 374)","(535, 369)","(546, 380)","(546, 389)","(547, 380)","(559, 392)","(559, 393)","(573, 407)","(584, 417)","(585, 423)","(592, 414)","(592, 418)","(602, 420)","(619, 449)","(625, 446)","(632, 444)","(633, 448)","(654, 458)","(659, 468)","(660, 465)","(660, 469)","(687, 486)","(704, 486)","(706, 495)","(706, 499)","(721, 516)","(732, 516)","(736, 528)","(749, 519)","(775, 542)","(785, 552)","(795, 566)","(797, 566)","(806, 571)","(814, 571)","(816, 574)","(833, 588)","(844, 587)","(851, 610)","(856, 611)","(858, 608)","(861, 604)","(869, 618)","(870, 611)","(883, 630)","(895, 633)","(908, 636)","(939, 656)","(942, 665)","(948, 668)","(951, 678)","(955, 671)","(964, 678)","(986, 697)"
"WORST(InpSize,Cmprsns)","(6, 3)","(10, 6)","(31, 19)","(36, 24)","(44, 28)","(50, 35)","(68, 47)","(85, 59)","(138, 100)","(139, 99)","(144, 103)","(146, 108)","(150, 105)","(170, 125)","(182, 130)","(192, 134)","(216, 156)","(218, 158)","(224, 161)","(231, 167)","(239, 173)","(260, 190)","(288, 216)","(290, 210)","(296, 224)","(302, 224)","(319, 227)","(325, 246)","(338, 245)","(344, 255)","(349, 253)","(358, 260)","(361, 269)","(370, 271)","(373, 267)","(383, 284)","(385, 283)","(392, 284)","(411, 299)","(429, 313)","(433, 323)","(434, 324)","(438, 330)","(448, 328)","(449, 325)","(478, 348)","(505, 374)","(507, 375)","(524, 381)","(532, 401)","(547, 414)","(551, 406)","(561, 417)","(572, 425)","(573, 428)","(579, 430)","(581, 444)","(584, 430)","(584, 445)","(590, 431)","(615, 457)","(617, 462)","(618, 460)","(625, 443)","(629, 476)","(641, 472)","(650, 490)","(656, 477)","(675, 488)","(684, 512)","(692, 523)","(711, 532)","(711, 539)","(750, 546)","(758, 563)","(772, 568)","(772, 579)","(776, 585)","(792, 591)","(799, 588)","(799, 598)","(812, 598)","(821, 611)","(822, 597)","(830, 615)","(834, 613)","(848, 627)","(850, 644)","(861, 637)","(873, 654)","(909, 681)","(917, 689)","(922, 681)","(925, 690)","(926, 704)","(935, 692)","(947, 703)","(960, 718)","(970, 734)","(999, 750)"
"BEST(InpSize,Cmprsns)","(8, 5)","(36, 33)","(38, 35)","(48, 45)","(51, 48)","(67, 64)","(68, 65)","(75, 72)","(81, 78)","(85, 82)","(87, 84)","(115, 112)","(123, 120)","(146, 143)","(158, 155)","(205, 202)","(234, 231)","(235, 232)","(238, 235)","(239, 236)","(248, 245)","(255, 252)","(264, 261)","(268, 265)","(270, 267)","(295, 292)","(295, 292)","(298, 295)","(299, 296)","(311, 308)","(316, 313)","(327, 324)","(335, 332)","(364, 361)","(370, 367)","(396, 393)","(398, 395)","(419, 416)","(425, 422)","(431, 428)","(441, 438)","(441, 438)","(447, 444)","(468, 465)","(490, 487)","(490, 487)","(498, 495)","(506, 503)","(528, 525)","(529, 526)","(538, 535)","(539, 536)","(539, 536)","(555, 552)","(565, 562)","(566, 563)","(572, 569)","(574, 571)","(578, 575)","(586, 583)","(601, 598)","(612, 609)","(630, 627)","(638, 635)","(641, 638)","(650, 647)","(650, 647)","(664, 661)","(677, 674)","(695, 692)","(697, 694)","(697, 694)","(697, 694)","(701, 698)","(702, 699)","(708, 705)","(719, 716)","(737, 734)","(759, 756)","(761, 758)","(786, 783)","(786, 783)","(787, 784)","(793, 790)","(816, 813)","(819, 816)","(829, 826)","(866, 863)","(870, 867)","(878, 875)","(879, 876)","(901, 898)","(913, 910)","(952, 949)","(957, 954)","(968, 965)","(974, 971)","(988, 985)","(992, 989)","(997, 994)"
